x	y	col	festa	mov
150	269	blu	0	0
177	285	blu	0	0
209	302	blu	0	0
247	321	blu	0	0
237	352	blu	0	0
203	354	blu	0	0
170	344	blu	0	0
61	278	blu	0	0
351	433	blu	0	0
374	468	blu	0	0
395	494	blu	0	0
420	522	blu	0	0
451	509	blu	0	0
474	480	blu	0	0
468	452	blu	0	0
435	441	blu	0	0
402	419	blu	0	0
370	405	blu	0	0
543	456	blu	0	0
581	456	blu	0	0
630	455	blu	0	0
662	442	blu	0	0
692	422	blu	0	0
737	474	blu	0	0
763	499	blu	0	0
796	530	blu	0	0
844	553	blu	0	0
856	582	blu	0	0
826	612	blu	0	0
781	392	blu	0	0
830	391	blu	0	0
867	386	blu	0	0
904	380	blu	0	0
935	362	blu	0	0
760	282	blu	0	0
999	593	blu	0	0
1033	587	blu	0	0
1057	561	blu	0	0
1081	538	blu	0	0
1098	505	blu	0	0
987	557	blu	0	0
966	511	blu	0	0
985	483	blu	0	0
1006	437	blu	0	0
1034	410	blu	0	0
1071	395	blu	0	0
1100	369	blu	0	0
1104	323	blu	0	0
935	247	blu	0	0
945	203	blu	0	0
972	168	blu	0	0
1012	152	blu	0	0
1008	197	blu	0	0
994	245	blu	0	0
970	265	blu	0	0
629	354	blu	0	0
141	388	blu	0	0
150	416	blu	0	0
178	430	blu	0	0
190	459	blu	0	0
204	487	blu	0	0
218	517	blu	0	0
236	545	blu	0	0
260	566	blu	0	0
292	581	blu	0	0
318	586	blu	0	0
142	332	blu	0	0
114	320	blu	0	0
89	302	blu	0	0
