x	y	col	festa	mov	A	w	phi	teta
231.0	182	blu	0	1	35	1.5	51.42857142857143	90
277.0	182	blu	0	1	35	1.5	77.14285714285714	90
322.0	182	blu	0	1	35	1.5	102.85714285714286	90
368.0	182	blu	0	1	35	1.5	128.57142857142858	90
414.0	182	blu	0	1	35	1.5	154.28571428571428	90
460.0	182	blu	0	1	35	1.5	180.0	90
505.0	182	blu	0	1	35	1.5	205.71428571428572	90
551.0	182	blu	0	1	35	1.5	231.42857142857144	90
597.0	182	blu	0	1	35	1.5	257.14285714285717	90
642.0	182	blu	0	1	35	1.5	282.8571428571429	90
688.0	182	blu	0	1	35	1.5	308.57142857142856	90
734.0	182	blu	0	1	35	1.5	334.2857142857143	90
780.0	182	blu	0	1	35	1.5	360.0	90
825.0	182	blu	0	1	35	1.5	385.7142857142857	90
871.0	182	blu	0	1	35	1.5	411.42857142857144	90
917.0	182	blu	0	1	35	1.5	437.14285714285717	90
962.0	182	blu	0	1	35	1.5	462.8571428571429	90
1008.0	182	blu	0	1	35	1.5	488.5714285714286	90
1054.0	182	blu	0	1	35	1.5	514.2857142857143	90
1100.0	182	blu	0	1	35	1.5	540.0	90
140.0	580	blu	0	1	35	2.0	0.0	90
185.0	580	blu	0	1	35	2.0	25.714285714285715	90
231.0	580	blu	0	1	35	2.0	51.42857142857143	90
277.0	580	blu	0	1	35	2.0	77.14285714285714	90
322.0	580	blu	0	1	35	2.0	102.85714285714286	90
368.0	580	blu	0	1	35	2.0	128.57142857142858	90
414.0	580	blu	0	1	35	2.0	154.28571428571428	90
460.0	580	blu	0	1	35	2.0	180.0	90
505.0	580	blu	0	1	35	2.0	205.71428571428572	90
551.0	580	blu	0	1	35	2.0	231.42857142857144	90
597.0	580	blu	0	1	35	2.0	257.14285714285717	90
642.0	580	blu	0	1	35	2.0	282.8571428571429	90
688.0	580	blu	0	1	35	2.0	308.57142857142856	90
734.0	580	blu	0	1	35	2.0	334.2857142857143	90
780.0	580	blu	0	1	35	2.0	360.0	90
825.0	580	blu	0	1	35	2.0	385.7142857142857	90
871.0	580	blu	0	1	35	2.0	411.42857142857144	90
917.0	580	blu	0	1	35	2.0	437.14285714285717	90
962.0	580	blu	0	1	35	2.0	462.8571428571429	90
1000	238.0	blu	0	1	35	2.0	0.0	0
1000	268.0	blu	0	1	35	2.0	60.0	0
1000	299.0	blu	0	1	35	2.0	120.0	0
1000	330.0	blu	0	1	35	2.0	180.0	0
1000	360.0	blu	0	1	35	2.0	240.0	0
1000	391.0	blu	0	1	35	2.0	300.0	0
1000	422.0	blu	0	1	35	2.0	360.0	0
1000	452.0	blu	0	1	35	2.0	420.0	0
1000	483.0	blu	0	1	35	2.0	480.0	0
1000	514.0	blu	0	1	35	2.0	540.0	0
254	238.0	blu	0	1	35	2.0	0.0	0
254	268.0	blu	0	1	35	2.0	60.0	0
254	299.0	blu	0	1	35	2.0	120.0	0
254	330.0	blu	0	1	35	2.0	180.0	0
254	360.0	blu	0	1	35	2.0	240.0	0
254	391.0	blu	0	1	35	2.0	300.0	0
254	422.0	blu	0	1	35	2.0	360.0	0
254	452.0	blu	0	1	35	2.0	420.0	0
254	483.0	blu	0	1	35	2.0	480.0	0
254	514.0	blu	0	1	35	2.0	540.0	0
