x	y	col	festa	mov
63	625	blu	0	0
240	618	blu	0	0
295	603	blu	0	0
345	576	blu	0	0
386	542	blu	0	0
397	476	blu	0	0
409	406	blu	0	0
424	357	blu	0	0
469	329	blu	0	0
510	321	blu	0	0
557	313	blu	0	0
586	288	blu	0	0
573	236	blu	0	0
620	223	blu	0	0
654	245	blu	0	0
656	290	blu	0	0
691	318	blu	0	0
748	329	blu	0	0
793	357	blu	0	0
816	408	blu	0	0
827	464	blu	0	0
831	519	blu	0	0
843	565	blu	0	0
880	590	blu	0	0
927	610	blu	0	0
981	621	blu	0	0
1037	630	blu	0	0
1093	631	blu	0	0
1139	623	blu	0	0
884	220	blu	0	0
828	190	blu	0	0
937	247	blu	0	0
987	271	blu	0	0
987	167	blu	0	0
942	187	blu	0	0
839	244	blu	0	0
791	270	blu	0	0
157	157	blu	0	0
255	169	blu	0	0
227	205	blu	0	0
151	237	blu	0	0
105	196	blu	0	0
306	242	blu	0	0
195	261	blu	0	0
519	413	blu	0	0
582	416	blu	0	0
638	429	blu	0	0
651	461	blu	0	0
605	488	blu	0	0
529	487	blu	0	0
517	528	blu	0	0
574	538	blu	0	0
643	523	blu	0	0
701	466	blu	0	0
697	515	blu	0	0
748	490	blu	0	0
739	437	blu	0	0
458	503	blu	0	0
465	447	blu	0	0
439	564	blu	0	0
533	596	blu	0	0
621	585	blu	0	0
703	578	blu	0	0
772	580	blu	0	0
942	519	blu	0	0
882	515	blu	0	0
995	517	blu	0	0
1064	524	blu	0	0
1140	526	blu	0	0
247	266	blu	0	0
172	209	blu	0	0
200	152	blu	0	0
394	511	blu	0	0
101	631	blu	0	0
146	631	blu	0	0
186	631	blu	0	0
322	593	blu	0	0
782	521	blu	0	0
423	519	blu	0	0
