x	y	col	festa	mov	A	w	phi	teta
250	500	"blu"	0	True	150	1.3	0.0	0.0
250	500	"blu"	0	True	150	1.3	18.0	18.0
250	500	"blu"	0	True	150	1.3	36.0	36.0
250	500	"blu"	0	True	150	1.3	54.0	54.0
250	500	"blu"	0	True	150	1.3	72.0	72.0
250	500	"blu"	0	True	150	1.3	90.0	90.0
250	500	"blu"	0	True	150	1.3	108.0	108.0
250	500	"blu"	0	True	150	1.3	126.0	126.0
250	500	"blu"	0	True	150	1.3	144.0	144.0
250	500	"blu"	0	True	150	1.3	162.0	162.0
1040	400	"blu"	0	True	100	1.1	0	0
1040	400	"blu"	0	True	100	1.1	0	45
1040	400	"blu"	0	True	100	1.1	0	90
1040	400	"blu"	0	True	100	1.1	0	135
1040	400	"blu"	0	True	100	1.1	0	180
1040	400	"blu"	0	True	100	1.1	0	225
1040	400	"blu"	0	True	100	1.1	0	270
1040	400	"blu"	0	True	100	1.1	0	315
