x	y	col	festa	mov
94	191	blu	0	0
118	145	blu	0	0
143	185	blu	0	0
163	248	blu	0	0
81	246	blu	0	0
355	247	blu	0	0
394	248	blu	0	0
409	207	blu	0	0
342	204	blu	0	0
375	172	blu	0	0
609	144	blu	0	0
589	192	blu	0	0
592	247	blu	0	0
609	291	blu	0	0
1145	151	blu	0	0
1158	197	blu	0	0
1135	288	blu	0	0
1159	246	blu	0	0
800	152	blu	0	0
797	206	blu	0	0
799	241	blu	0	0
830	249	blu	0	0
734	156	blu	0	0
368	366	blu	0	0
386	342	blu	0	0
404	346	blu	0	0
422	376	blu	0	0
440	418	blu	0	0
458	451	blu	0	0
476	458	blu	0	0
494	436	blu	0	0
512	396	blu	0	0
530	357	blu	0	0
548	340	blu	0	0
566	352	blu	0	0
584	387	blu	0	0
602	429	blu	0	0
620	456	blu	0	0
638	455	blu	0	0
656	426	blu	0	0
674	384	blu	0	0
692	350	blu	0	0
710	340	blu	0	0
728	360	blu	0	0
746	399	blu	0	0
764	439	blu	0	0
782	459	blu	0	0
800	450	blu	0	0
818	415	blu	0	0
836	373	blu	0	0
854	344	blu	0	0
872	343	blu	0	0
890	369	blu	0	0
502	546	blu	0	0
588	575	blu	0	0
632	528	blu	0	0
661	574	blu	0	0
710	535	blu	0	0
722	576	blu	0	0
786	529	blu	0	0
441	566	blu	0	0
439	525	blu	0	0
489	575	blu	0	0
559	543	blu	0	0
802	579	blu	0	0
827	538	blu	0	0
878	565	blu	0	0
963	574	blu	0	0
1019	535	blu	0	0
1038	582	blu	0	0
1105	549	blu	0	0
