x	y	col	festa	mov
207	202	blu	0	0
215	234	blu	0	0
249	251	blu	0	0
282	254	blu	0	0
311	250	blu	0	0
343	242	blu	0	0
366	223	blu	0	0
387	193	blu	0	0
336	141	blu	0	0
289	136	blu	0	0
215	164	blu	0	0
251	141	blu	0	0
369	158	blu	0	0
818	198	blu	0	0
839	172	blu	0	0
871	159	blu	0	0
931	160	blu	0	0
898	151	blu	0	0
959	170	blu	0	0
987	190	blu	0	0
992	216	blu	0	0
974	236	blu	0	0
937	244	blu	0	0
905	249	blu	0	0
872	241	blu	0	0
844	227	blu	0	0
278	193	blu	0	0
900	201	blu	0	0
537	321	blu	0	0
672	316	blu	0	0
240	557	blu	0	0
207	525	blu	0	0
177	499	blu	0	0
149	466	blu	0	0
123	433	blu	0	0
97	393	blu	0	0
82	356	blu	0	0
87	320	blu	0	0
95	285	blu	0	0
109	250	blu	0	0
133	214	blu	0	0
229	362	blu	0	0
245	389	blu	0	0
269	415	blu	0	0
294	429	blu	0	0
322	437	blu	0	0
355	446	blu	0	0
386	452	blu	0	0
419	457	blu	0	0
452	458	blu	0	0
492	464	blu	0	0
531	463	blu	0	0
576	465	blu	0	0
613	468	blu	0	0
650	464	blu	0	0
687	462	blu	0	0
729	457	blu	0	0
771	460	blu	0	0
803	453	blu	0	0
838	449	blu	0	0
875	439	blu	0	0
916	431	blu	0	0
940	412	blu	0	0
967	386	blu	0	0
980	354	blu	0	0
493	299	blu	0	0
522	271	blu	0	0
551	264	blu	0	0
590	263	blu	0	0
627	265	blu	0	0
655	279	blu	0	0
691	292	blu	0	0
300	315	blu	0	0
351	303	blu	0	0
389	283	blu	0	0
417	261	blu	0	0
445	244	blu	0	0
487	217	blu	0	0
547	191	blu	0	0
605	186	blu	0	0
657	199	blu	0	0
698	212	blu	0	0
733	229	blu	0	0
758	247	blu	0	0
792	274	blu	0	0
821	301	blu	0	0
852	320	blu	0	0
890	345	blu	0	0
916	379	blu	0	0
456	333	blu	0	0
443	379	blu	0	0
462	416	blu	0	0
500	435	blu	0	0
747	314	blu	0	0
780	353	blu	0	0
783	390	blu	0	0
767	429	blu	0	0
458	503	blu	0	0
477	537	blu	0	0
503	567	blu	0	0
538	583	blu	0	0
584	593	blu	0	0
634	595	blu	0	0
679	585	blu	0	0
716	567	blu	0	0
743	543	blu	0	0
757	497	blu	0	0
1096	259	blu	0	0
1121	291	blu	0	0
1134	325	blu	0	0
1127	367	blu	0	0
1110	402	blu	0	0
1092	434	blu	0	0
1071	466	blu	0	0
1047	500	blu	0	0
1016	538	blu	0	0
980	570	blu	0	0
960	594	blu	0	0
944	624	blu	0	0
259	588	blu	0	0
281	618	blu	0	0
1059	231	blu	0	0
