x	y	teta	col	mov
120	306	0	blu	0
160	306	0	blu	0
200	306	0	blu	0
240	306	0	blu	0
280	306	0	blu	0
320	306	0	blu	0
360	306	0	blu	0
120	449	0	blu	0
160	449	0	blu	0
200	449	0	blu	0
240	449	0	blu	0
280	449	0	blu	0
320	449	0	blu	0
360	449	0	blu	0
468	347	120	blu	0
490	382	120	blu	0
511	417	120	blu	0
533	451	120	blu	0
640	304	120	blu	0
660	337	120	blu	0
680	369	120	blu	0
701	402	120	blu	0
723	437	120	blu	0
449	311	120	blu	0
903	306	90	blu	0
903	346	90	blu	0
903	386	90	blu	0
903	426	90	blu	0
1069	306	90	blu	0
1069	346	90	blu	0
1069	386	90	blu	0
1069	426	90	blu	0
