x	y	col	festa	mov
156	208	blu	0	0
169	143	blu	0	0
233	125	blu	0	0
211	204	blu	0	0
279	115	blu	0	0
271	177	blu	0	0
327	178	blu	0	0
908	118	blu	0	0
916	174	blu	0	0
963	117	blu	0	0
969	166	blu	0	0
1024	121	blu	0	0
842	175	blu	0	0
1011	169	blu	0	0
804	142	blu	0	0
351	147	blu	0	0
1063	150	blu	0	0
106	171	blu	0	0
173	362	blu	0	0
124	340	blu	0	0
216	384	blu	0	0
263	403	blu	0	0
315	423	blu	0	0
116	384	blu	0	0
250	337	blu	0	0
296	361	blu	0	0
336	390	blu	0	0
329	337	blu	0	0
161	415	blu	0	0
117	424	blu	0	0
536	341	blu	0	0
573	375	blu	0	0
634	416	blu	0	0
672	450	blu	0	0
583	444	blu	0	0
533	389	blu	0	0
588	313	blu	0	0
615	353	blu	0	0
935	299	blu	0	0
972	338	blu	0	0
1006	376	blu	0	0
1041	429	blu	0	0
941	372	blu	0	0
961	419	blu	0	0
989	302	blu	0	0
1030	343	blu	0	0
107	618	blu	0	0
112	567	blu	0	0
240	577	blu	0	0
184	607	blu	0	0
182	562	blu	0	0
234	616	blu	0	0
335	561	blu	0	0
339	601	blu	0	0
488	557	blu	0	0
485	607	blu	0	0
651	578	blu	0	0
600	529	blu	0	0
555	574	blu	0	0
779	536	blu	0	0
781	599	blu	0	0
852	571	blu	0	0
1037	567	blu	0	0
933	599	blu	0	0
916	549	blu	0	0
985	531	blu	0	0
705	565	blu	0	0
602	603	blu	0	0
406	570	blu	0	0
982	582	blu	0	0
