x	y	col	festa	mov	r	teta	w
225	139	blu	0	2	39	0.0	0.7
225	139	blu	0	2	39	51.42857142857143	0.7
225	139	blu	0	2	39	102.85714285714286	0.7
225	139	blu	0	2	39	154.28571428571428	0.7
225	139	blu	0	2	39	205.71428571428572	0.7
225	139	blu	0	2	39	257.14285714285717	0.7
225	139	blu	0	2	39	308.57142857142856	0.7
997	257	blu	0	2	33	0.0	0.7
997	257	blu	0	2	33	51.42857142857143	0.7
997	257	blu	0	2	33	102.85714285714286	0.7
997	257	blu	0	2	33	154.28571428571428	0.7
997	257	blu	0	2	33	205.71428571428572	0.7
997	257	blu	0	2	33	257.14285714285717	0.7
997	257	blu	0	2	33	308.57142857142856	0.7
1004	126	blu	0	2	60	0.0	0.9
1004	126	blu	0	2	60	30.0	0.9
1004	126	blu	0	2	60	60.0	0.9
1004	126	blu	0	2	60	90.0	0.9
1004	126	blu	0	2	60	120.0	0.9
1004	126	blu	0	2	60	150.0	0.9
1004	126	blu	0	2	60	180.0	0.9
1004	126	blu	0	2	60	210.0	0.9
1004	126	blu	0	2	60	240.0	0.9
1004	126	blu	0	2	60	270.0	0.9
1004	126	blu	0	2	60	300.0	0.9
1004	126	blu	0	2	60	330.0	0.9
356	267	blu	0	2	41	0.0	0.7
356	267	blu	0	2	41	60.0	0.7
356	267	blu	0	2	41	120.0	0.7
356	267	blu	0	2	41	180.0	0.7
356	267	blu	0	2	41	240.0	0.7
356	267	blu	0	2	41	300.0	0.7
