x	y	col	festa	mov
98	215	blu	0	0
131	287	blu	0	0
84	240	blu	0	0
101	273	blu	0	0
156	308	blu	0	0
170	335	blu	0	0
182	371	blu	0	0
201	394	blu	0	0
234	399	blu	0	0
271	392	blu	0	0
270	351	blu	0	0
296	343	blu	0	0
320	364	blu	0	0
322	392	blu	0	0
311	423	blu	0	0
282	431	blu	0	0
282	470	blu	0	0
277	590	blu	0	0
293	553	blu	0	0
323	543	blu	0	0
353	544	blu	0	0
379	560	blu	0	0
390	589	blu	0	0
332	576	blu	0	0
749	564	blu	0	0
781	541	blu	0	0
815	537	blu	0	0
850	552	blu	0	0
878	583	blu	0	0
813	576	blu	0	0
862	430	blu	0	0
894	417	blu	0	0
939	407	blu	0	0
985	407	blu	0	0
1024	409	blu	0	0
1020	351	blu	0	0
1046	384	blu	0	0
719	603	blu	0	0
684	589	blu	0	0
662	559	blu	0	0
659	514	blu	0	0
648	480	blu	0	0
595	479	blu	0	0
543	476	blu	0	0
508	490	blu	0	0
507	520	blu	0	0
523	547	blu	0	0
563	560	blu	0	0
584	526	blu	0	0
461	448	blu	0	0
450	411	blu	0	0
493	394	blu	0	0
538	390	blu	0	0
591	372	blu	0	0
626	345	blu	0	0
668	328	blu	0	0
708	330	blu	0	0
749	338	blu	0	0
787	332	blu	0	0
817	312	blu	0	0
857	293	blu	0	0
896	296	blu	0	0
926	320	blu	0	0
951	348	blu	0	0
956	592	blu	0	0
927	569	blu	0	0
935	535	blu	0	0
990	529	blu	0	0
616	459	blu	0	0
