x	y	teta	col	mov
254	645	0	blu	0
294	645	0	blu	0
334	645	0	blu	0
374	645	0	blu	0
414	645	0	blu	0
454	645	0	blu	0
494	645	0	blu	0
534	645	0	blu	0
574	645	0	blu	0
614	645	0	blu	0
654	645	0	blu	0
694	645	0	blu	0
734	645	0	blu	0
774	645	0	blu	0
813	645	0	blu	0
280	613	45	blu	0
796	614	135	blu	0
767	586	135	blu	0
738	558	135	blu	0
308	584	45	blu	0
338	554	45	blu	0
367	524	45	blu	0
709	529	135	blu	0
679	501	135	blu	0
649	472	135	blu	0
619	444	135	blu	0
590	413	135	blu	0
397	496	45	blu	0
426	468	45	blu	0
452	442	45	blu	0
480	410	45	blu	0
791	565	45	blu	0
820	537	45	blu	0
820	537	45	blu	0
820	537	45	blu	0
848	507	45	blu	0
877	479	45	blu	0
905	449	45	blu	0
933	419	45	blu	0
963	389	45	blu	0
336	511	135	blu	0
308	481	135	blu	0
278	453	135	blu	0
251	424	135	blu	0
221	396	135	blu	0
191	369	135	blu	0
