x	y	col	festa	mov
358	464	blu	0	0
319	443	blu	0	0
288	414	blu	0	0
261	376	blu	0	0
246	339	blu	0	0
258	254	blu	0	0
322	190	blu	0	0
361	166	blu	0	0
515	121	blu	0	0
749	133	blu	0	0
796	147	blu	0	0
834	165	blu	0	0
875	195	blu	0	0
905	229	blu	0	0
929	266	blu	0	0
934	303	blu	0	0
933	346	blu	0	0
912	386	blu	0	0
880	421	blu	0	0
880	421	blu	0	0
849	446	blu	0	0
805	466	blu	0	0
776	481	blu	0	0
726	494	blu	0	0
700	124	blu	0	0
248	294	blu	0	0
291	217	blu	0	0
465	125	blu	0	0
415	141	blu	0	0
471	219	blu	0	0
486	181	blu	0	0
534	169	blu	0	0
581	189	blu	0	0
614	213	blu	0	0
649	235	blu	0	0
652	281	blu	0	0
695	307	blu	0	0
729	335	blu	0	0
798	342	blu	0	0
464	289	blu	0	0
436	327	blu	0	0
438	372	blu	0	0
