x	y	teta	col	mov	r	phi	w
200	235	0	blu	3	80	0.0	0.8
200	235	0	blu	3	80	40.0	0.8
200	235	0	blu	3	80	80.0	0.8
200	235	0	blu	3	80	120.0	0.8
200	235	0	blu	3	80	160.0	0.8
200	235	0	blu	3	80	200.0	0.8
200	235	0	blu	3	80	240.0	0.8
200	235	0	blu	3	80	280.0	0.8
200	235	0	blu	3	80	320.0	0.8
1022	472	0	blu	3	80	0.0	0.8
1022	472	0	blu	3	80	40.0	0.8
1022	472	0	blu	3	80	80.0	0.8
1022	472	0	blu	3	80	120.0	0.8
1022	472	0	blu	3	80	160.0	0.8
1022	472	0	blu	3	80	200.0	0.8
1022	472	0	blu	3	80	240.0	0.8
1022	472	0	blu	3	80	280.0	0.8
1022	472	0	blu	3	80	320.0	0.8
