x	y	col	festa	mov
271	467	blu	0	0
259	433	blu	0	0
268	394	blu	0	0
301	378	blu	0	0
329	369	blu	0	0
362	346	blu	0	0
395	333	blu	0	0
426	314	blu	0	0
448	288	blu	0	0
469	260	blu	0	0
492	230	blu	0	0
524	207	blu	0	0
359	312	blu	0	0
385	279	blu	0	0
398	242	blu	0	0
418	218	blu	0	0
299	503	blu	0	0
328	496	blu	0	0
349	471	blu	0	0
372	431	blu	0	0
409	390	blu	0	0
742	416	blu	0	0
759	373	blu	0	0
791	359	blu	0	0
815	389	blu	0	0
796	428	blu	0	0
726	462	blu	0	0
716	501	blu	0	0
715	540	blu	0	0
716	574	blu	0	0
769	462	blu	0	0
772	496	blu	0	0
785	532	blu	0	0
811	564	blu	0	0
845	593	blu	0	0
905	105	blu	0	0
937	116	blu	0	0
945	147	blu	0	0
968	164	blu	0	0
986	196	blu	0	0
1008	219	blu	0	0
1031	245	blu	0	0
1011	281	blu	0	0
987	310	blu	0	0
971	338	blu	0	0
933	391	blu	0	0
951	368	blu	0	0
903	404	blu	0	0
865	403	blu	0	0
882	570	blu	0	0
920	574	blu	0	0
951	578	blu	0	0
506	280	blu	0	0
548	267	blu	0	0
576	243	blu	0	0
601	256	blu	0	0
630	272	blu	0	0
664	278	blu	0	0
694	274	blu	0	0
724	270	blu	0	0
750	255	blu	0	0
765	279	blu	0	0
791	293	blu	0	0
829	289	blu	0	0
776	151	blu	0	0
804	175	blu	0	0
830	202	blu	0	0
849	228	blu	0	0
867	260	blu	0	0
420	447	blu	0	0
451	435	blu	0	0
479	420	blu	0	0
507	408	blu	0	0
593	402	blu	0	0
629	411	blu	0	0
655	436	blu	0	0
688	461	blu	0	0
551	398	blu	0	0
61	454	blu	0	0
87	480	blu	0	0
113	500	blu	0	0
141	521	blu	0	0
175	544	blu	0	0
208	569	blu	0	0
251	587	blu	0	0
288	608	blu	0	0
328	624	blu	0	0
362	624	blu	0	0
425	626	blu	0	0
470	624	blu	0	0
508	621	blu	0	0
547	616	blu	0	0
669	595	blu	0	0
606	610	blu	0	0
