x	y	col	festa	mov
302	292	blu	0	0
544	296	blu	0	0
460	372	blu	0	0
427	374	blu	0	0
366	359	blu	0	0
334	342	blu	0	0
310	321	blu	0	0
396	368	blu	0	0
488	360	blu	0	0
522	338	blu	0	0
317	251	blu	0	0
399	221	blu	0	0
455	225	blu	0	0
487	241	blu	0	0
519	263	blu	0	0
345	235	blu	0	0
704	277	blu	0	0
711	240	blu	0	0
748	217	blu	0	0
794	207	blu	0	0
842	214	blu	0	0
876	237	blu	0	0
882	277	blu	0	0
865	299	blu	0	0
838	315	blu	0	0
789	316	blu	0	0
744	306	blu	0	0
525	434	blu	0	0
544	404	blu	0	0
568	375	blu	0	0
608	352	blu	0	0
642	375	blu	0	0
666	400	blu	0	0
686	438	blu	0	0
661	460	blu	0	0
618	456	blu	0	0
584	456	blu	0	0
541	460	blu	0	0
514	199	blu	0	0
558	192	blu	0	0
596	191	blu	0	0
644	194	blu	0	0
681	191	blu	0	0
227	370	blu	0	0
260	401	blu	0	0
267	439	blu	0	0
306	429	blu	0	0
340	439	blu	0	0
376	451	blu	0	0
412	447	blu	0	0
462	441	blu	0	0
742	458	blu	0	0
785	458	blu	0	0
834	454	blu	0	0
871	445	blu	0	0
909	434	blu	0	0
956	413	blu	0	0
1019	278	blu	0	0
1052	291	blu	0	0
1095	297	blu	0	0
1098	236	blu	0	0
1094	264	blu	0	0
965	555	blu	0	0
1012	544	blu	0	0
1045	527	blu	0	0
1075	511	blu	0	0
1102	484	blu	0	0
379	539	blu	0	0
343	536	blu	0	0
312	536	blu	0	0
276	533	blu	0	0
240	516	blu	0	0
205	502	blu	0	0
163	489	blu	0	0
128	473	blu	0	0
84	441	blu	0	0
124	290	blu	0	0
146	328	blu	0	0
172	346	blu	0	0
197	356	blu	0	0
177	413	blu	0	0
206	397	blu	0	0
427	534	blu	0	0
468	542	blu	0	0
508	543	blu	0	0
546	547	blu	0	0
583	547	blu	0	0
624	549	blu	0	0
663	554	blu	0	0
719	544	blu	0	0
758	543	blu	0	0
802	543	blu	0	0
353	605	blu	0	0
396	601	blu	0	0
424	592	blu	0	0
461	584	blu	0	0
514	579	blu	0	0
947	327	blu	0	0
906	350	blu	0	0
884	371	blu	0	0
835	381	blu	0	0
786	398	blu	0	0
738	397	blu	0	0
693	383	blu	0	0
293	352	blu	0	0
330	373	blu	0	0
363	390	blu	0	0
410	398	blu	0	0
458	401	blu	0	0
508	384	blu	0	0
