x	y	col	festa	mov
62	187	blu	0	0
103	197	blu	0	0
147	199	blu	0	0
224	171	blu	0	0
238	123	blu	0	0
281	128	blu	0	0
607	165	blu	0	0
658	174	blu	0	0
667	220	blu	0	0
559	178	blu	0	0
547	225	blu	0	0
1158	189	blu	0	0
1110	200	blu	0	0
1044	201	blu	0	0
974	170	blu	0	0
987	120	blu	0	0
1110	291	blu	0	0
1153	284	blu	0	0
63	450	blu	0	0
107	443	blu	0	0
155	436	blu	0	0
202	439	blu	0	0
251	443	blu	0	0
305	451	blu	0	0
78	602	blu	0	0
87	550	blu	0	0
113	512	blu	0	0
280	472	blu	0	0
181	483	blu	0	0
178	511	blu	0	0
330	496	blu	0	0
1139	566	blu	0	0
1112	521	blu	0	0
1023	484	blu	0	0
936	475	blu	0	0
1158	453	blu	0	0
1020	441	blu	0	0
883	448	blu	0	0
443	543	blu	0	0
494	540	blu	0	0
542	535	blu	0	0
592	519	blu	0	0
656	530	blu	0	0
700	542	blu	0	0
757	542	blu	0	0
379	543	blu	0	0
333	563	blu	0	0
296	587	blu	0	0
262	621	blu	0	0
856	551	blu	0	0
907	572	blu	0	0
945	608	blu	0	0
847	602	blu	0	0
374	596	blu	0	0
61	285	blu	0	0
105	294	blu	0	0
153	326	blu	0	0
195	374	blu	0	0
243	393	blu	0	0
280	404	blu	0	0
328	420	blu	0	0
833	431	blu	0	0
884	415	blu	0	0
944	394	blu	0	0
990	378	blu	0	0
1045	336	blu	0	0
502	451	blu	0	0
554	435	blu	0	0
606	456	blu	0	0
658	437	blu	0	0
704	439	blu	0	0
1005	510	blu	0	0
931	505	blu	0	0
856	501	blu	0	0
343	143	blu	0	0
400	153	blu	0	0
463	176	blu	0	0
932	126	blu	0	0
888	140	blu	0	0
810	158	blu	0	0
758	168	blu	0	0
707	206	blu	0	0
248	506	blu	0	0
962	441	blu	0	0
1092	443	blu	0	0
