x	y	teta	col	mov
60	200	0	blu	0
100	200	0	blu	0
140	200	0	blu	0
180	200	0	blu	0
220	200	0	blu	0
260	200	0	blu	0
300	200	0	blu	0
340	200	0	blu	0
880	200	0	blu	0
920	200	0	blu	0
960	200	0	blu	0
1000	200	0	blu	0
1040	200	0	blu	0
1080	200	0	blu	0
1120	200	0	blu	0
1160	200	0	blu	0
880	400	0	blu	0
920	400	0	blu	0
960	400	0	blu	0
1000	400	0	blu	0
1040	400	0	blu	0
1080	400	0	blu	0
1120	400	0	blu	0
1160	400	0	blu	0
880	600	0	blu	0
920	600	0	blu	0
960	600	0	blu	0
1000	600	0	blu	0
1040	600	0	blu	0
1080	600	0	blu	0
1120	600	0	blu	0
1160	600	0	blu	0
60	400	0	blu	0
100	400	0	blu	0
140	400	0	blu	0
180	400	0	blu	0
220	400	0	blu	0
260	400	0	blu	0
300	400	0	blu	0
340	400	0	blu	0
60	600	0	blu	0
100	600	0	blu	0
140	600	0	blu	0
180	600	0	blu	0
220	600	0	blu	0
260	600	0	blu	0
300	600	0	blu	0
340	600	0	blu	0
