x	y	col	festa	mov
83	352	blu	0	0
118	321	blu	0	0
186	293	blu	0	0
263	280	blu	0	0
249	316	blu	0	0
143	282	blu	0	0
199	238	blu	0	0
424	205	blu	0	0
480	205	blu	0	0
523	204	blu	0	0
879	259	blu	0	0
946	297	blu	0	0
940	347	blu	0	0
1017	352	blu	0	0
1094	304	blu	0	0
1032	255	blu	0	0
1033	306	blu	0	0
1145	270	blu	0	0
958	249	blu	0	0
575	208	blu	0	0
626	226	blu	0	0
695	225	blu	0	0
683	262	blu	0	0
608	292	blu	0	0
532	280	blu	0	0
473	255	blu	0	0
433	286	blu	0	0
425	327	blu	0	0
442	471	blu	0	0
446	519	blu	0	0
538	521	blu	0	0
568	474	blu	0	0
483	455	blu	0	0
637	449	blu	0	0
689	502	blu	0	0
725	496	blu	0	0
730	441	blu	0	0
686	451	blu	0	0
505	483	blu	0	0
595	519	blu	0	0
643	564	blu	0	0
703	555	blu	0	0
646	504	blu	0	0
938	465	blu	0	0
910	525	blu	0	0
1000	551	blu	0	0
1067	513	blu	0	0
998	507	blu	0	0
1025	456	blu	0	0
1120	454	blu	0	0
1131	528	blu	0	0
87	465	blu	0	0
230	467	blu	0	0
172	469	blu	0	0
115	507	blu	0	0
166	524	blu	0	0
231	521	blu	0	0
282	463	blu	0	0
301	515	blu	0	0
326	463	blu	0	0
347	530	blu	0	0
266	497	blu	0	0
327	257	blu	0	0
320	316	blu	0	0
506	335	blu	0	0
561	337	blu	0	0
653	324	blu	0	0
773	226	blu	0	0
763	285	blu	0	0
755	344	blu	0	0
801	309	blu	0	0
814	252	blu	0	0
843	303	blu	0	0
696	309	blu	0	0
718	248	blu	0	0
787	445	blu	0	0
795	500	blu	0	0
844	463	blu	0	0
846	512	blu	0	0
797	568	blu	0	0
944	510	blu	0	0
973	437	blu	0	0
757	555	blu	0	0
585	434	blu	0	0
484	577	blu	0	0
562	566	blu	0	0
89	277	blu	0	0
