x	y	teta	tipo	mov	A	w	phi	alpha
140	200	0	blu	2	60	1.9	0	0
220	200	0	blu	2	60	1.9	0	0
300	200	0	blu	2	60	1.9	0	0
140	260	0	blu	2	60	1.9	20	0
220	260	0	blu	2	60	1.9	20	0
300	260	0	blu	2	60	1.9	20	0
140	320	0	blu	2	60	1.9	40	0
220	320	0	blu	2	60	1.9	40	0
300	320	0	blu	2	60	1.9	40	0
140	380	0	blu	2	60	1.9	60	0
220	380	0	blu	2	60	1.9	60	0
300	380	0	blu	2	60	1.9	60	0
140	440	0	blu	2	60	1.9	80	0
220	440	0	blu	2	60	1.9	80	0
300	440	0	blu	2	60	1.9	80	0
140	500	0	blu	2	60	1.9	100	0
220	500	0	blu	2	60	1.9	100	0
300	500	0	blu	2	60	1.9	100	0
140	560	0	blu	2	60	1.9	120	0
220	560	0	blu	2	60	1.9	120	0
300	560	0	blu	2	60	1.9	120	0
140	620	0	blu	2	60	1.9	140	0
220	620	0	blu	2	60	1.9	140	0
300	620	0	blu	2	60	1.9	140	0

