x	y	col	festa	mov
1154	290	blu	0	0
1076	296	blu	0	0
1023	305	blu	0	0
976	334	blu	0	0
949	377	blu	0	0
954	440	blu	0	0
991	481	blu	0	0
1037	499	blu	0	0
1107	516	blu	0	0
1157	517	blu	0	0
1145	345	blu	0	0
1081	353	blu	0	0
1040	375	blu	0	0
1037	428	blu	0	0
1079	451	blu	0	0
1137	464	blu	0	0
896	558	blu	0	0
895	499	blu	0	0
897	440	blu	0	0
844	324	blu	0	0
906	321	blu	0	0
895	371	blu	0	0
396	157	blu	0	0
425	205	blu	0	0
485	224	blu	0	0
540	239	blu	0	0
613	239	blu	0	0
687	251	blu	0	0
745	271	blu	0	0
770	199	blu	0	0
817	193	blu	0	0
809	135	blu	0	0
869	119	blu	0	0
913	148	blu	0	0
971	166	blu	0	0
1018	195	blu	0	0
1075	202	blu	0	0
483	172	blu	0	0
555	190	blu	0	0
626	201	blu	0	0
671	210	blu	0	0
719	206	blu	0	0
