x	y	col	festa	mov
517	162	blu	0	0
549	139	blu	0	0
601	133	blu	0	0
647	136	blu	0	0
690	151	blu	0	0
528	189	blu	0	0
702	184	blu	0	0
472	227	blu	0	0
438	209	blu	0	0
402	222	blu	0	0
393	255	blu	0	0
431	280	blu	0	0
475	279	blu	0	0
508	265	blu	0	0
537	241	blu	0	0
515	301	blu	0	0
503	338	blu	0	0
488	374	blu	0	0
459	405	blu	0	0
422	430	blu	0	0
384	451	blu	0	0
385	488	blu	0	0
416	501	blu	0	0
469	486	blu	0	0
515	456	blu	0	0
545	439	blu	0	0
573	404	blu	0	0
590	350	blu	0	0
598	309	blu	0	0
611	263	blu	0	0
640	249	blu	0	0
665	284	blu	0	0
685	322	blu	0	0
708	356	blu	0	0
735	389	blu	0	0
762	423	blu	0	0
796	444	blu	0	0
833	454	blu	0	0
877	467	blu	0	0
923	472	blu	0	0
952	495	blu	0	0
955	528	blu	0	0
953	562	blu	0	0
918	582	blu	0	0
881	575	blu	0	0
872	536	blu	0	0
726	261	blu	0	0
762	282	blu	0	0
790	302	blu	0	0
818	320	blu	0	0
843	339	blu	0	0
869	360	blu	0	0
898	392	blu	0	0
932	412	blu	0	0
968	423	blu	0	0
1015	423	blu	0	0
1048	407	blu	0	0
1070	379	blu	0	0
1061	342	blu	0	0
1022	334	blu	0	0
981	332	blu	0	0
947	350	blu	0	0
929	385	blu	0	0
979	380	blu	0	0
767	235	blu	0	0
804	221	blu	0	0
851	214	blu	0	0
889	225	blu	0	0
883	260	blu	0	0
853	277	blu	0	0
808	271	blu	0	0
449	370	blu	0	0
399	365	blu	0	0
353	353	blu	0	0
337	314	blu	0	0
365	290	blu	0	0
