x	y	col	festa	mov
131	141	blu	0	0
143	171	blu	0	0
162	204	blu	0	0
240	276	blu	0	0
267	297	blu	0	0
300	315	blu	0	0
335	328	blu	0	0
373	343	blu	0	0
415	355	blu	0	0
448	363	blu	0	0
488	371	blu	0	0
719	374	blu	0	0
758	360	blu	0	0
798	347	blu	0	0
832	339	blu	0	0
878	327	blu	0	0
909	310	blu	0	0
943	293	blu	0	0
978	269	blu	0	0
1057	192	blu	0	0
1071	163	blu	0	0
1088	126	blu	0	0
1105	174	blu	0	0
1108	206	blu	0	0
1074	301	blu	0	0
1045	329	blu	0	0
1021	349	blu	0	0
996	371	blu	0	0
961	388	blu	0	0
921	405	blu	0	0
881	423	blu	0	0
840	433	blu	0	0
803	438	blu	0	0
767	447	blu	0	0
737	448	blu	0	0
431	441	blu	0	0
462	440	blu	0	0
392	433	blu	0	0
301	405	blu	0	0
191	345	blu	0	0
162	325	blu	0	0
104	185	blu	0	0
106	224	blu	0	0
326	416	blu	0	0
356	426	blu	0	0
265	395	blu	0	0
236	381	blu	0	0
530	364	blu	0	0
567	352	blu	0	0
573	315	blu	0	0
592	288	blu	0	0
626	297	blu	0	0
634	321	blu	0	0
649	353	blu	0	0
677	366	blu	0	0
398	111	blu	0	0
424	149	blu	0	0
453	175	blu	0	0
490	201	blu	0	0
528	211	blu	0	0
569	219	blu	0	0
616	220	blu	0	0
653	216	blu	0	0
696	208	blu	0	0
729	197	blu	0	0
759	183	blu	0	0
786	159	blu	0	0
811	130	blu	0	0
829	102	blu	0	0
493	462	blu	0	0
525	477	blu	0	0
565	483	blu	0	0
607	486	blu	0	0
657	483	blu	0	0
695	468	blu	0	0
445	497	blu	0	0
475	522	blu	0	0
504	536	blu	0	0
541	545	blu	0	0
589	557	blu	0	0
636	556	blu	0	0
426	571	blu	0	0
454	585	blu	0	0
483	601	blu	0	0
513	609	blu	0	0
557	620	blu	0	0
596	627	blu	0	0
630	627	blu	0	0
674	619	blu	0	0
708	606	blu	0	0
742	596	blu	0	0
678	551	blu	0	0
724	537	blu	0	0
764	522	blu	0	0
776	578	blu	0	0
130	288	blu	0	0
114	252	blu	0	0
1093	259	blu	0	0
1012	240	blu	0	0
201	240	blu	0	0
