x	y	col	festa	mov
360	268	blu	0	0
363	297	blu	0	0
344	323	blu	0	0
335	358	blu	0	0
341	400	blu	0	0
355	433	blu	0	0
349	462	blu	0	0
360	507	blu	0	0
380	539	blu	0	0
380	577	blu	0	0
414	287	blu	0	0
399	320	blu	0	0
391	356	blu	0	0
396	391	blu	0	0
392	425	blu	0	0
392	462	blu	0	0
398	503	blu	0	0
414	576	blu	0	0
443	557	blu	0	0
473	517	blu	0	0
471	482	blu	0	0
482	447	blu	0	0
500	400	blu	0	0
501	359	blu	0	0
512	326	blu	0	0
510	289	blu	0	0
626	264	blu	0	0
625	294	blu	0	0
626	328	blu	0	0
625	359	blu	0	0
631	399	blu	0	0
640	428	blu	0	0
653	460	blu	0	0
676	490	blu	0	0
704	271	blu	0	0
713	303	blu	0	0
718	336	blu	0	0
713	374	blu	0	0
710	411	blu	0	0
715	444	blu	0	0
734	478	blu	0	0
761	522	blu	0	0
774	294	blu	0	0
772	332	blu	0	0
761	366	blu	0	0
754	411	blu	0	0
771	456	blu	0	0
777	491	blu	0	0
818	301	blu	0	0
820	338	blu	0	0
809	367	blu	0	0
795	404	blu	0	0
803	434	blu	0	0
807	472	blu	0	0
817	523	blu	0	0
793	544	blu	0	0
554	444	blu	0	0
586	462	blu	0	0
616	494	blu	0	0
619	530	blu	0	0
607	575	blu	0	0
615	610	blu	0	0
530	465	blu	0	0
549	507	blu	0	0
536	549	blu	0	0
538	585	blu	0	0
553	612	blu	0	0
396	262	blu	0	0
428	258	blu	0	0
461	254	blu	0	0
491	248	blu	0	0
527	245	blu	0	0
565	242	blu	0	0
594	240	blu	0	0
636	240	blu	0	0
684	240	blu	0	0
724	244	blu	0	0
765	253	blu	0	0
805	258	blu	0	0
831	271	blu	0	0
855	290	blu	0	0
883	282	blu	0	0
893	252	blu	0	0
882	214	blu	0	0
340	244	blu	0	0
344	216	blu	0	0
364	185	blu	0	0
122	225	blu	0	0
191	239	blu	0	0
221	218	blu	0	0
229	301	blu	0	0
156	298	blu	0	0
150	253	blu	0	0
110	275	blu	0	0
80	236	blu	0	0
86	319	blu	0	0
125	338	blu	0	0
177	351	blu	0	0
221	361	blu	0	0
101	402	blu	0	0
142	414	blu	0	0
179	416	blu	0	0
99	468	blu	0	0
137	465	blu	0	0
181	453	blu	0	0
218	405	blu	0	0
253	355	blu	0	0
277	304	blu	0	0
277	252	blu	0	0
261	418	blu	0	0
218	450	blu	0	0
978	193	blu	0	0
1071	179	blu	0	0
1034	182	blu	0	0
1020	233	blu	0	0
1071	231	blu	0	0
1125	227	blu	0	0
1078	280	blu	0	0
1016	308	blu	0	0
1065	314	blu	0	0
1118	324	blu	0	0
967	367	blu	0	0
960	309	blu	0	0
953	267	blu	0	0
1031	367	blu	0	0
1093	379	blu	0	0
995	442	blu	0	0
931	414	blu	0	0
1070	413	blu	0	0
990	411	blu	0	0
932	181	blu	0	0
280	211	blu	0	0
