x	y	col	festa	mov
558	335	blu	0	0
568	321	blu	0	0
583	310	blu	0	0
601	303	blu	0	0
621	303	blu	0	0
642	308	blu	0	0
662	321	blu	0	0
677	340	blu	0	0
686	363	blu	0	0
688	390	blu	0	0
682	417	blu	0	0
668	442	blu	0	0
645	462	blu	0	0
617	476	blu	0	0
585	480	blu	0	0
551	475	blu	0	0
520	459	blu	0	0
494	434	blu	0	0
475	402	blu	0	0
467	364	blu	0	0
471	324	blu	0	0
486	286	blu	0	0
513	253	blu	0	0
549	229	blu	0	0
592	216	blu	0	0
638	217	blu	0	0
683	231	blu	0	0
723	259	blu	0	0
753	298	blu	0	0
772	345	blu	0	0
775	397	blu	0	0
764	449	blu	0	0
736	496	blu	0	0
696	534	blu	0	0
645	559	blu	0	0
587	568	blu	0	0
528	560	blu	0	0
474	534	blu	0	0
428	492	blu	0	0
395	438	blu	0	0
380	376	blu	0	0
384	311	blu	0	0
407	248	blu	0	0
448	194	blu	0	0
504	154	blu	0	0
570	131	blu	0	0
642	129	blu	0	0
880	203	blu	0	0
892	242	blu	0	0
921	266	blu	0	0
950	289	blu	0	0
980	304	blu	0	0
1014	323	blu	0	0
1045	336	blu	0	0
1066	358	blu	0	0
1074	389	blu	0	0
1085	411	blu	0	0
1125	415	blu	0	0
1157	402	blu	0	0
1165	353	blu	0	0
889	168	blu	0	0
1040	162	blu	0	0
1051	209	blu	0	0
1063	259	blu	0	0
1075	305	blu	0	0
1125	164	blu	0	0
1123	206	blu	0	0
1118	251	blu	0	0
1122	303	blu	0	0
75	200	blu	0	0
96	158	blu	0	0
147	209	blu	0	0
82	278	blu	0	0
115	307	blu	0	0
141	264	blu	0	0
168	166	blu	0	0
194	260	blu	0	0
202	210	blu	0	0
