x	y	col	festa	mov	A	w	phi	teta
200	159.0	blu	0	1	60	2.0	0.0	0
200	189.0	blu	0	1	60	2.0	38.57142857142857	0
200	220.0	blu	0	1	60	2.0	77.14285714285714	0
200	251.0	blu	0	1	60	2.0	115.71428571428571	0
200	282.0	blu	0	1	60	2.0	154.28571428571428	0
200	313.0	blu	0	1	60	2.0	192.85714285714283	0
200	344.0	blu	0	1	60	2.0	231.42857142857142	0
200	375.0	blu	0	1	60	2.0	270.0	0
200	406.0	blu	0	1	60	2.0	308.57142857142856	0
200	437.0	blu	0	1	60	2.0	347.1428571428571	0
200	468.0	blu	0	1	60	2.0	385.71428571428567	0
200	499.0	blu	0	1	60	2.0	424.2857142857143	0
200	530.0	blu	0	1	60	2.0	462.85714285714283	0
200	561.0	blu	0	1	60	2.0	501.4285714285714	0
200	592.0	blu	0	1	60	2.0	540.0	0
200	159.0	blu	0	1	60	2.0	180.0	0
200	189.0	blu	0	1	60	2.0	218.57142857142856	0
200	220.0	blu	0	1	60	2.0	257.1428571428571	0
200	251.0	blu	0	1	60	2.0	295.7142857142857	0
200	282.0	blu	0	1	60	2.0	334.2857142857143	0
200	313.0	blu	0	1	60	2.0	372.85714285714283	0
200	344.0	blu	0	1	60	2.0	411.42857142857144	0
200	375.0	blu	0	1	60	2.0	450.0	0
200	406.0	blu	0	1	60	2.0	488.57142857142856	0
200	437.0	blu	0	1	60	2.0	527.1428571428571	0
200	468.0	blu	0	1	60	2.0	565.7142857142857	0
200	499.0	blu	0	1	60	2.0	604.2857142857142	0
200	530.0	blu	0	1	60	2.0	642.8571428571429	0
200	561.0	blu	0	1	60	2.0	681.4285714285713	0
200	592.0	blu	0	1	60	2.0	720.0	0
