x	y	col	festa	mov
664	347	blu	0	0
631	316	blu	0	0
613	268	blu	0	0
642	216	blu	0	0
683	194	blu	0	0
744	185	blu	0	0
813	181	blu	0	0
861	186	blu	0	0
936	216	blu	0	0
968	261	blu	0	0
955	309	blu	0	0
902	347	blu	0	0
858	364	blu	0	0
807	372	blu	0	0
759	371	blu	0	0
709	364	blu	0	0
898	196	blu	0	0
720	303	blu	0	0
701	254	blu	0	0
743	224	blu	0	0
792	220	blu	0	0
848	227	blu	0	0
885	258	blu	0	0
883	289	blu	0	0
844	313	blu	0	0
804	323	blu	0	0
761	319	blu	0	0
418	246	blu	0	0
479	236	blu	0	0
528	229	blu	0	0
574	218	blu	0	0
984	198	blu	0	0
1043	210	blu	0	0
1086	225	blu	0	0
1131	242	blu	0	0
1138	316	blu	0	0
634	388	blu	0	0
574	373	blu	0	0
512	359	blu	0	0
470	336	blu	0	0
438	315	blu	0	0
422	286	blu	0	0
1136	275	blu	0	0
1091	336	blu	0	0
1047	351	blu	0	0
1000	363	blu	0	0
946	379	blu	0	0
490	529	blu	0	0
503	490	blu	0	0
552	478	blu	0	0
603	487	blu	0	0
618	525	blu	0	0
742	529	blu	0	0
765	494	blu	0	0
809	489	blu	0	0
844	511	blu	0	0
940	474	blu	0	0
945	434	blu	0	0
981	415	blu	0	0
1027	410	blu	0	0
1070	424	blu	0	0
1077	478	blu	0	0
794	270	blu	0	0
