x	y	col	festa	mov
170	162	blu	0	0
224	161	blu	0	0
226	195	blu	0	0
176	226	blu	0	0
138	211	blu	0	0
150	262	blu	0	0
210	275	blu	0	0
258	244	blu	0	0
295	187	blu	0	0
131	533	blu	0	0
109	591	blu	0	0
184	589	blu	0	0
180	543	blu	0	0
256	550	blu	0	0
237	509	blu	0	0
202	483	blu	0	0
302	513	blu	0	0
269	586	blu	0	0
251	462	blu	0	0
991	549	blu	0	0
1068	558	blu	0	0
1071	499	blu	0	0
1010	483	blu	0	0
1014	527	blu	0	0
960	502	blu	0	0
962	457	blu	0	0
1000	430	blu	0	0
1043	435	blu	0	0
1105	467	blu	0	0
1011	183	blu	0	0
945	165	blu	0	0
990	138	blu	0	0
1029	153	blu	0	0
1082	160	blu	0	0
1057	201	blu	0	0
935	219	blu	0	0
995	221	blu	0	0
1042	237	blu	0	0
943	259	blu	0	0
992	259	blu	0	0
1036	271	blu	0	0
