x	y	col	festa	mov
262	531	blu	0	0
294	512	blu	0	0
326	502	blu	0	0
359	492	blu	0	0
393	489	blu	0	0
424	489	blu	0	0
461	493	blu	0	0
504	489	blu	0	0
545	488	blu	0	0
590	483	blu	0	0
627	475	blu	0	0
665	465	blu	0	0
705	452	blu	0	0
739	443	blu	0	0
779	430	blu	0	0
880	400	blu	0	0
915	391	blu	0	0
811	420	blu	0	0
843	412	blu	0	0
953	382	blu	0	0
998	375	blu	0	0
1040	367	blu	0	0
1087	375	blu	0	0
1119	387	blu	0	0
1160	396	blu	0	0
424	279	blu	0	0
464	266	blu	0	0
504	277	blu	0	0
530	295	blu	0	0
561	316	blu	0	0
588	339	blu	0	0
618	354	blu	0	0
649	366	blu	0	0
605	381	blu	0	0
577	370	blu	0	0
536	363	blu	0	0
501	356	blu	0	0
461	338	blu	0	0
431	313	blu	0	0
709	489	blu	0	0
753	480	blu	0	0
792	483	blu	0	0
825	488	blu	0	0
861	510	blu	0	0
891	537	blu	0	0
919	552	blu	0	0
957	560	blu	0	0
995	568	blu	0	0
1043	582	blu	0	0
981	594	blu	0	0
935	585	blu	0	0
894	579	blu	0	0
855	569	blu	0	0
822	560	blu	0	0
795	538	blu	0	0
769	518	blu	0	0
364	265	blu	0	0
393	270	blu	0	0
982	352	blu	0	0
1009	319	blu	0	0
1094	347	blu	0	0
1118	329	blu	0	0
1127	298	blu	0	0
325	464	blu	0	0
291	452	blu	0	0
252	443	blu	0	0
211	430	blu	0	0
175	418	blu	0	0
144	414	blu	0	0
423	462	blu	0	0
439	428	blu	0	0
539	390	blu	0	0
507	403	blu	0	0
693	286	blu	0	0
720	257	blu	0	0
745	237	blu	0	0
777	226	blu	0	0
774	260	blu	0	0
805	272	blu	0	0
838	278	blu	0	0
784	402	blu	0	0
781	359	blu	0	0
744	355	blu	0	0
175	322	blu	0	0
167	289	blu	0	0
159	252	blu	0	0
134	228	blu	0	0
101	214	blu	0	0
69	193	blu	0	0
